Id,SalePrice
1461,120756.5186
1462,153955.4748
1463,181394.2769
1464,193291.6614
1465,211008.9816
1466,185038.9065
1467,179896.738
1468,177641.9663
1469,201943.7864
1470,107791.5345
1471,210614.2721
1472,111375.6536
1473,108616.2778
1474,163153.8385
1475,134015.9925
1476,320859.1479
1477,267538.4139
1478,284990.3764
1479,282292.6803
1480,388763.8687
1481,298946.7712
1482,229712.6878
1483,196991.2637
1484,194686.6936
1485,180408.3122
1486,212916.8176
1487,314496.1128
1488,268901.9381
1489,212636.4274
1490,214036.6454
1491,211188.3761
1492,95098.97651
1493,195040.0399
1494,281939.9535
1495,277762.6185
1496,227350.9945
1497,213772.0658
1498,175766.3043
1499,176180.6374
1500,165638.5027
1501,181069.7164
1502,166728.6067
1503,261259.171
1504,240040.6788
1505,229467.5245
1506,218678.1577
1507,258476.2878
1508,212870.0583
1509,169090.1277
1510,148863.7513
1511,147367.4175
1512,175107.9809
1513,170561.3398
1514,182454.3713
1515,226899.5546
1516,150500.6043
1517,157788.091
1518,180308.4471
1519,233270.0191
1520,125002.3697
1521,130852.1773
1522,177612.3607
1523,105676.3863
1524,106872.6952
1525,105714.8726
1526,107790.6657
1527,105540.1882
1528,142435.1143
1529,138817.5018
1530,181288.8452
1531,114412.9649
1532,72255.49237
1533,154779.8266
1534,137966.381
1535,160697.3942
1536,113366.4857
1537,68266.13766
1538,173267.1279
1539,211378.2208
1540,141673.6524
1541,158361.6942
1542,159562.1139
1543,205456.7089
1544,56366.42331
1545,102435.185
1546,126155.7034
1547,119120.6697
1548,130657.1757
1549,112197.9788
1550,132982.8884
1551,114136.8471
1552,141269.4864
1553,134452.8248
1554,123601.4635
1555,169917.5732
1556,88253.58624
1557,105368.8354
1558,91012.07421
1559,100154.0816
1560,130437.2069
1561,165515.4866
1562,128361.86
1563,104391.5176
1564,173166.7603
1565,141983.4474
1566,221072.4795
1567,66809.18422
1568,213289.9814
1569,131335.133
1570,136775.927
1571,124810.39
1572,143737.8442
1573,235864.7531
1574,151350.1001
1575,209164.1178
1576,229758.453
1577,212098.302
1578,140170.1013
1579,148264.945
1580,211084.1464
1581,138966.9997
1582,120518.4276
1583,301514.7937
1584,242963.56
1585,151547.0067
1586,50327.90121
1587,93526.90765
1588,137924.997
1589,98172.6829
1590,145067.0112
1591,78692.31785
1592,134917.4675
1593,106303.6064
1594,151414.1774
1595,113963.8603
1596,218161.7469
1597,198290.8775
1598,198041.339
1599,189162.4751
1600,201684.8747
1601,14870.54056
1602,123120.3418
1603,64133.96365
1604,253315.0869
1605,254745.6637
1606,172534.9466
1607,253160.8983
1608,226233.7238
1609,207086.5442
1610,160462.7432
1611,153521.6908
1612,202066.1169
1613,192576.6719
1614,115093.743
1615,79121.49874
1616,79121.49874
1617,95373.85357
1618,124666.5034
1619,126403.687
1620,231528.4386
1621,150854.4455
1622,138824.6422
1623,256875.263
1624,214534.8113
1625,119297.4675
1626,187548.4191
1627,193447.9112
1628,272099.8832
1629,190544.3736
1630,329674.7025
1631,231657.7998
1632,252784.4582
1633,176106.2653
1634,195124.2836
1635,175151.6514
1636,175377.9108
1637,189724.412
1638,217964.1879
1639,207770.0125
1640,264106.7447
1641,208157.0023
1642,230445.9323
1643,244806.0595
1644,238432.1198
1645,190348.3986
1646,158224.7818
1647,176787.1896
1648,146737.6996
1649,126913.8989
1650,108907.3035
1651,124184.8111
1652,112927.357
1653,113143.9458
1654,167416.3497
1655,161424.1024
1656,164705.5418
1657,168968.0531
1658,165481.3935
1659,136952.8039
1660,154691.7235
1661,347934.7909
1662,333317.7479
1663,323235.9162
1664,388301.5124
1665,295047.1933
1666,287780.0669
1667,307564.0401
1668,300061.0022
1669,268189.049
1670,301402.4914
1671,255563.2926
1672,359814.7316
1673,285718.0645
1674,269694.9149
1675,202292.0268
1676,202758.4295
1677,216850.2052
1678,378738.3547
1679,315136.8439
1680,297660.2787
1681,253961.3685
1682,270991.0698
1683,217513.9899
1684,193568.6806
1685,183074.163
1686,198807.304
1687,180191.6979
1688,208883.4753
1689,205671.3178
1690,196554.9257
1691,184422.6744
1692,251500.4306
1693,180408.3122
1694,182342.4336
1695,180297.7884
1696,265272.866
1697,180296.9722
1698,316012.7731
1699,299616.791
1700,241141.6392
1701,265109.6017
1702,284363.5498
1703,269723.4472
1704,278836.0535
1705,236032.507
1706,360059.9389
1707,226713.6036
1708,227832.2081
1709,282301.3395
1710,243971.5365
1711,250567.9792
1712,276351.7451
1713,256979.4171
1714,235830.8394
1715,214068.8727
1716,208528.7811
1717,197000.973
1718,157808.8208
1719,219592.2864
1720,258775.4717
1721,197231.7862
1722,141688.6772
1723,170162.2039
1724,241560.9597
1725,235764.9537
1726,193032.0778
1727,190490.0922
1728,193484.9558
1729,163303.7543
1730,179788.2477
1731,118670.1418
1732,121156.5351
1733,106207.7734
1734,116464.1639
1735,120190.8166
1736,104171.427
1737,286235.4634
1738,219658.8292
1739,315151.378
1740,241007.7811
1741,199388.3346
1742,180438.7691
1743,191149.2365
1744,255193.9944
1745,234598.2456
1746,245061.8263
1747,225667.4209
1748,243321.8904
1749,159206.2886
1750,152655.5062
1751,240312.6401
1752,105569.8673
1753,178519.7704
1754,222174.2591
1755,170230.5032
1756,96412.34029
1757,99197.64715
1758,147596.7414
1759,173258.3996
1760,171342.534
1761,153966.3137
1762,180367.8916
1763,175701.2111
1764,105665.9218
1765,205425.9855
1766,178628.4466
1767,209942.9669
1768,122445.5907
1769,175865.7003
1770,138770.4273
1771,127832.8945
1772,145200.3658
1773,114457.8872
1774,200598.8496
1775,126140.7605
1776,113997.0059
1777,80558.29723
1778,127569.0779
1779,111190.0672
1780,174846.95
1781,120598.9293
1782,68130.72173
1783,150172.1697
1784,78993.8853
1785,100730.7331
1786,175913.0547
1787,179409.6062
1788,5783.901906
1789,90095.64772
1790,49930.20081
1791,256173.4153
1792,164586.6788
1793,144683.2309
1794,149972.5401
1795,132172.066
1796,116242.7241
1797,143316.9897
1798,114444.2787
1799,78413.65008
1800,112319.0225
1801,131088.445
1802,172890.749
1803,176869.1531
1804,133715.5834
1805,130224.9339
1806,141689.8526
1807,158189.8762
1808,117535.8699
1809,105562.1862
1810,128319.7981
1811,94983.71463
1812,90778.93352
1813,121674.3331
1814,70364.73864
1815,12437.97822
1816,71122.42263
1817,114239.1077
1818,154235.4222
1819,129076.1145
1820,40498.45677
1821,127883.1649
1822,163593.0176
1823,13887.79568
1824,133630.7726
1825,129723.8306
1826,88482.45565
1827,112653.4063
1828,126779.553
1829,149664.9151
1830,161610.0191
1831,178402.2281
1832,142849.3668
1833,154444.251
1834,136670.7086
1835,164804.6833
1836,153963.6285
1837,55786.17033
1838,122417.3585
1839,77012.34991
1840,134578.9142
1841,137508.2497
1842,86723.82022
1843,137884.9899
1844,139390.3407
1845,145721.2066
1846,148094.6705
1847,180037.8458
1848,3186.792976
1849,108073.2832
1850,117051.1205
1851,139427.3556
1852,113304.1259
1853,132817.7918
1854,175446.481
1855,168009.6783
1856,223529.9769
1857,151554.1258
1858,190135.3643
1859,146854.1873
1860,163749.2721
1861,145388.6089
1862,297921.1866
1863,297921.1866
1864,297921.1866
1865,301752.3462
1866,294730.7035
1867,260348.5703
1868,275414.8651
1869,217660.929
1870,236521.647
1871,259292.0518
1872,179951.6372
1873,224798.5976
1874,143179.6802
1875,220759.4953
1876,203038.663
1877,223629.5893
1878,229187.8931
1879,119265.9671
1880,127724.0079
1881,268345.439
1882,263153.0167
1883,214888.5651
1884,228033.0113
1885,237293.6314
1886,270450.3009
1887,216351.509
1888,267840.5643
1889,175446.5769
1890,125298.632
1891,166301.1439
1892,87995.5773
1893,126801.0939
1894,159456.3989
